NOME,QTD_VERTICES,QTD_ARESTAS,QTD_ARCOS,QTD_VERTICES_REQUERIDOS,QTD_ARESTAS_REQUERIDAS,QTD_ARCOS_REQUERIDOS,DENSIDADE_GRAFO,GRAU_MINIMO_ENTRADA,GRAU_MAXIMO_ENTRADA,GRAU_MINIMO_SAIDA,GRAU_MAXIMO_SAIDA,CAMINHO_MEDIO,DIAMETRO
CBMix22,25,10,48,7,10,25,0.0166667,1,5,1,4,86.6817,188
CBMix23,11,2,25,3,2,15,0.0181818,1,6,1,5,63.0182,179
CBMix3,31,8,80,16,8,55,0.00860215,1,5,2,6,92.7742,225
CBMix4,53,75,36,10,75,13,0.0272134,2,6,2,6,112.931,294
CBMix5,32,4,57,23,4,38,0.00403226,1,4,1,4,150.206,365
CBMix6,49,4,92,40,4,64,0.00170068,1,5,1,4,157.27,403
CBMix7,75,8,150,54,8,106,0.00144144,1,4,1,6,136.243,347
CBMix8,77,6,162,63,6,108,0.00102529,1,5,1,5,131.814,324
CBMix9,29,39,8,6,39,5,0.0480296,2,5,1,4,107.326,264
DI-NEARP-n240-Q16k,563,815,0,120,120,0,0.00515161,1,5,1,5,461.483,1735
DI-NEARP-n240-Q2k,563,815,0,120,120,0,0.00515161,1,5,1,5,461.483,1735
DI-NEARP-n240-Q4k,563,815,0,120,120,0,0.00515161,1,5,1,5,461.483,1735
DI-NEARP-n240-Q8k,563,815,0,120,120,0,0.00515161,1,5,1,5,461.483,1735
DI-NEARP-n422-Q16k,710,871,0,302,120,0,0.00346054,1,5,1,5,650.277,1803
DI-NEARP-n422-Q2k,710,871,0,302,120,0,0.00346054,1,5,1,5,650.277,1803
DI-NEARP-n422-Q4k,710,871,0,302,120,0,0.00346054,1,5,1,5,650.277,1803
DI-NEARP-n422-Q8k,710,871,0,302,120,0,0.00346054,1,5,1,5,650.277,1803
DI-NEARP-n442-Q16k,761,917,0,294,148,0,0.00317104,1,4,1,4,1262.78,4315
DI-NEARP-n442-Q2k,761,917,0,294,148,0,0.00317104,1,4,1,4,1262.78,4315
DI-NEARP-n442-Q4k,761,917,0,294,148,0,0.00317104,1,4,1,4,1262.78,4315
DI-NEARP-n442-Q8k,761,917,0,294,148,0,0.00317104,1,4,1,4,1262.78,4315
DI-NEARP-n477-Q16k,667,837,0,203,274,0,0.00376839,1,5,1,5,259.769,761
DI-NEARP-n477-Q2k,667,837,0,203,274,0,0.00376839,1,5,1,5,259.769,761
DI-NEARP-n477-Q4k,667,837,0,203,274,0,0.00376839,1,5,1,5,259.769,761
DI-NEARP-n477-Q8k,667,837,0,203,274,0,0.00376839,1,5,1,5,259.769,761
DI-NEARP-n699-Q16k,982,1103,0,335,364,0,0.00228994,1,5,1,5,575.529,1673
DI-NEARP-n699-Q2k,982,1103,0,335,364,0,0.00228994,1,5,1,5,575.529,1673
DI-NEARP-n699-Q2k,982,1103,0,335,364,0,0.00228994,1,5,1,5,575.529,1673
DI-NEARP-n699-Q8k,982,1103,0,335,364,0,0.00228994,1,5,1,5,575.529,1673
DI-NEARP-n833-Q16k,1120,1450,0,347,486,0,0.00231393,1,6,1,6,695.181,2475
DI-NEARP-n833-Q2k,1120,1450,0,347,486,0,0.00231393,1,6,1,6,695.181,2475
DI-NEARP-n833-Q4k,1120,1450,0,347,486,0,0.00231393,1,6,1,6,695.181,2475
DI-NEARP-n833-Q8k,1120,1450,0,347,486,0,0.00231393,1,6,1,6,695.181,2475
mggdb_0.25_1,12,5,34,6,3,12,0.0378788,3,5,3,5,16.7121,30
mggdb_0.25_10,12,6,38,4,4,14,0.0454545,3,7,3,7,14.9091,27
mggdb_0.25_11,22,11,68,8,8,25,0.0238095,3,7,3,7,15.5065,31
mggdb_0.25_12,13,5,36,6,3,13,0.0320513,2,5,2,5,24.9231,47
mggdb_0.25_13,10,7,42,6,5,15,0.0777778,3,8,3,8,11.7111,22
mggdb_0.25_14,7,5,32,5,3,12,0.119048,6,6,6,6,3.90476,6
mggdb_0.25_15,7,5,32,5,3,12,0.119048,6,6,6,6,1.71429,2
mggdb_0.25_16,8,7,42,5,5,15,0.125,7,7,7,7,3.35714,6
mggdb_0.25_17,8,7,42,5,5,15,0.125,7,7,7,7,1.75,2
mggdb_0.25_18,9,9,54,6,6,20,0.125,8,8,8,8,3.41667,7
mggdb_0.25_19,8,2,18,3,1,6,0.0357143,1,5,1,5,6,9
mggdb_0.25_2,12,6,40,6,4,15,0.0454545,3,6,3,6,14.8788,25
mggdb_0.25_20,11,5,34,5,3,12,0.0454545,1,7,1,7,5.98182,13
mggdb_0.25_21,11,8,50,7,6,18,0.0727273,4,9,4,9,3.98182,9
mggdb_0.25_22,11,11,66,6,8,24,0.1,6,10,6,10,2.2,4
mggdb_0.25_23,11,13,84,8,9,31,0.118182,10,10,10,10,2.45455,4
mggdb_0.25_3,12,5,34,7,3,12,0.0378788,3,6,3,6,16.1061,30
mggdb_0.25_4,11,4,30,4,3,11,0.0363636,3,5,3,5,19.8909,36
mggdb_0.25_5,13,6,40,5,4,15,0.0384615,3,5,3,5,17.5128,30
mggdb_0.25_6,12,5,34,6,3,12,0.0378788,2,5,2,5,16.9545,34
mggdb_0.25_7,12,5,34,5,3,12,0.0378788,2,6,2,6,18.6667,36
mggdb_0.25_8,27,11,70,11,8,26,0.0156695,1,7,1,7,15.2108,34
mggdb_0.25_9,27,12,78,9,9,29,0.017094,2,7,2,7,10.3846,24
mggdb_0.30_1,12,5,34,7,3,11,0.0378788,3,5,3,5,16.7121,30
mggdb_0.30_10,12,6,38,5,4,13,0.0454545,3,7,3,7,14.9091,27
mggdb_0.30_11,22,11,68,13,7,23,0.0238095,3,7,3,7,15.5065,31
mggdb_0.30_12,13,5,36,6,3,12,0.0320513,2,5,2,5,24.9231,47
mggdb_0.30_13,10,7,42,6,4,14,0.0777778,3,8,3,8,11.7111,22
mggdb_0.30_14,7,5,32,3,3,11,0.119048,6,6,6,6,3.90476,6
mggdb_0.30_15,7,5,32,5,3,11,0.119048,6,6,6,6,1.71429,2
mggdb_0.30_16,8,7,42,6,4,14,0.125,7,7,7,7,3.35714,6
mggdb_0.30_17,8,7,42,4,4,14,0.125,7,7,7,7,1.75,2
mggdb_0.30_18,9,9,54,6,6,18,0.125,8,8,8,8,3.41667,7
mggdb_0.30_19,8,2,18,3,1,6,0.0357143,1,5,1,5,6,9
mggdb_0.30_2,12,6,40,6,4,14,0.0454545,3,6,3,6,14.8788,25
mggdb_0.30_20,11,5,34,4,3,11,0.0454545,1,7,1,7,5.98182,13
mggdb_0.30_21,11,8,50,6,5,17,0.0727273,4,9,4,9,3.98182,9
mggdb_0.30_22,11,11,66,7,7,23,0.1,6,10,6,10,2.2,4
mggdb_0.30_23,11,13,84,9,9,29,0.118182,10,10,10,10,2.45455,4
mggdb_0.30_3,12,5,34,5,3,11,0.0378788,3,6,3,6,16.1061,30
mggdb_0.30_4,11,4,30,6,2,10,0.0363636,3,5,3,5,19.8909,36
mggdb_0.30_5,13,6,40,7,4,14,0.0384615,3,5,3,5,17.5128,30
mggdb_0.30_6,12,5,34,8,3,11,0.0378788,2,5,2,5,16.9545,34
mggdb_0.30_7,12,5,34,6,3,11,0.0378788,2,6,2,6,18.6667,36
mggdb_0.30_8,27,11,70,15,7,24,0.0156695,1,7,1,7,15.2108,34
mggdb_0.30_9,27,12,78,11,8,27,0.017094,2,7,2,7,10.3846,24
mggdb_0.35_1,12,5,34,7,3,11,0.0378788,3,5,3,5,16.7121,30
mggdb_0.35_10,12,6,38,9,3,12,0.0454545,3,7,3,7,14.9091,27
mggdb_0.35_11,22,11,68,12,7,22,0.0238095,3,7,3,7,15.5065,31
mggdb_0.35_12,13,5,36,6,3,11,0.0320513,2,5,2,5,24.9231,47
mggdb_0.35_13,10,7,42,7,4,13,0.0777778,3,8,3,8,11.7111,22
mggdb_0.35_14,7,5,32,5,3,10,0.119048,6,6,6,6,3.90476,6
mggdb_0.35_15,7,5,32,5,3,10,0.119048,6,6,6,6,1.71429,2
mggdb_0.35_16,8,7,42,5,4,13,0.125,7,7,7,7,3.35714,6
mggdb_0.35_17,8,7,42,6,4,13,0.125,7,7,7,7,1.75,2
mggdb_0.35_18,9,9,54,8,5,17,0.125,8,8,8,8,3.41667,7
mggdb_0.35_19,8,2,18,3,1,5,0.0357143,1,5,1,5,6,9
mggdb_0.35_2,12,6,40,6,3,13,0.0454545,3,6,3,6,14.8788,25
mggdb_0.35_20,11,5,34,6,3,11,0.0454545,1,7,1,7,5.98182,13
mggdb_0.35_21,11,8,50,7,5,16,0.0727273,4,9,4,9,3.98182,9
mggdb_0.35_22,11,11,66,8,7,21,0.1,6,10,6,10,2.2,4
mggdb_0.35_23,11,13,84,9,8,27,0.118182,10,10,10,10,2.45455,4
mggdb_0.35_3,12,5,34,6,3,11,0.0378788,3,6,3,6,16.1061,30
mggdb_0.35_4,11,4,30,6,2,9,0.0363636,3,5,3,5,19.8909,36
mggdb_0.35_5,13,6,40,7,3,13,0.0384615,3,5,3,5,17.5128,30
mggdb_0.35_6,12,5,34,7,3,11,0.0378788,2,5,2,5,16.9545,34
mggdb_0.35_7,12,5,34,8,3,11,0.0378788,2,6,2,6,18.6667,36
mggdb_0.35_8,27,11,70,9,7,22,0.0156695,1,7,1,7,15.2108,34
mggdb_0.35_9,27,12,78,13,7,25,0.017094,2,7,2,7,10.3846,24
mggdb_0.40_1,12,5,34,6,3,10,0.0378788,3,5,3,5,16.7121,30
mggdb_0.40_10,12,6,38,8,3,11,0.0454545,3,7,3,7,14.9091,27
mggdb_0.40_11,22,11,68,12,6,20,0.0238095,3,7,3,7,15.5065,31
mggdb_0.40_12,13,5,36,6,3,10,0.0320513,2,5,2,5,24.9231,47
mggdb_0.40_13,10,7,42,7,4,12,0.0777778,3,8,3,8,11.7111,22
mggdb_0.40_14,7,5,32,6,3,9,0.119048,6,6,6,6,3.90476,6
mggdb_0.40_15,7,5,32,6,3,9,0.119048,6,6,6,6,1.71429,2
mggdb_0.40_16,8,7,42,5,4,12,0.125,7,7,7,7,3.35714,6
mggdb_0.40_17,8,7,42,5,4,12,0.125,7,7,7,7,1.75,2
mggdb_0.40_18,9,9,54,6,5,16,0.125,8,8,8,8,3.41667,7
mggdb_0.40_19,8,2,18,4,1,5,0.0357143,1,5,1,5,6,9
mggdb_0.40_2,12,6,40,7,3,12,0.0454545,3,6,3,6,14.8788,25
mggdb_0.40_20,11,5,34,6,3,10,0.0454545,1,7,1,7,5.98182,13
mggdb_0.40_21,11,8,50,9,4,15,0.0727273,4,9,4,9,3.98182,9
mggdb_0.40_22,11,11,66,8,6,19,0.1,6,10,6,10,2.2,4
mggdb_0.40_23,11,13,84,10,7,25,0.118182,10,10,10,10,2.45455,4
mggdb_0.40_3,12,5,34,7,3,10,0.0378788,3,6,3,6,16.1061,30
mggdb_0.40_4,11,4,30,6,2,9,0.0363636,3,5,3,5,19.8909,36
mggdb_0.40_5,13,6,40,7,3,12,0.0384615,3,5,3,5,17.5128,30
mggdb_0.40_6,12,5,34,6,3,10,0.0378788,2,5,2,5,16.9545,34
mggdb_0.40_7,12,5,34,6,3,10,0.0378788,2,6,2,6,18.6667,36
mggdb_0.40_8,27,11,70,13,6,21,0.0156695,1,7,1,7,15.2108,34
mggdb_0.40_9,27,12,78,15,7,23,0.017094,2,7,2,7,10.3846,24
mggdb_0.45_1,12,5,34,6,2,9,0.0378788,3,5,3,5,16.7121,30
mggdb_0.45_10,12,6,38,9,3,10,0.0454545,3,7,3,7,14.9091,27
mggdb_0.45_11,22,11,68,15,6,18,0.0238095,3,7,3,7,15.5065,31
mggdb_0.45_12,13,5,36,10,2,9,0.0320513,2,5,2,5,24.9231,47
mggdb_0.45_13,10,7,42,7,3,11,0.0777778,3,8,3,8,11.7111,22
mggdb_0.45_14,7,5,32,6,2,8,0.119048,6,6,6,6,3.90476,6
mggdb_0.45_15,7,5,32,6,2,8,0.119048,6,6,6,6,1.71429,2
mggdb_0.45_16,8,7,42,6,3,11,0.125,7,7,7,7,3.35714,6
mggdb_0.45_17,8,7,42,7,3,11,0.125,7,7,7,7,1.75,2
mggdb_0.45_18,9,9,54,7,4,14,0.125,8,8,8,8,3.41667,7
mggdb_0.45_19,8,2,18,3,1,4,0.0357143,1,5,1,5,6,9
mggdb_0.45_2,12,6,40,7,3,11,0.0454545,3,6,3,6,14.8788,25
mggdb_0.45_20,11,5,34,5,2,9,0.0454545,1,7,1,7,5.98182,13
mggdb_0.45_21,11,8,50,7,4,13,0.0727273,4,9,4,9,3.98182,9
mggdb_0.45_22,11,11,66,9,6,18,0.1,6,10,6,10,2.2,4
mggdb_0.45_23,11,13,84,9,7,23,0.118182,10,10,10,10,2.45455,4
mggdb_0.45_3,12,5,34,8,2,9,0.0378788,3,6,3,6,16.1061,30
mggdb_0.45_4,11,4,30,7,2,8,0.0363636,3,5,3,5,19.8909,36
mggdb_0.45_5,13,6,40,7,3,11,0.0384615,3,5,3,5,17.5128,30
mggdb_0.45_6,12,5,34,7,2,9,0.0378788,2,5,2,5,16.9545,34
mggdb_0.45_7,12,5,34,9,2,9,0.0378788,2,6,2,6,18.6667,36
mggdb_0.45_8,27,11,70,16,6,19,0.0156695,1,7,1,7,15.2108,34
mggdb_0.45_9,27,12,78,14,6,21,0.017094,2,7,2,7,10.3846,24
mggdb_0.50_1,12,5,34,8,2,8,0.0378788,3,5,3,5,16.7121,30
mggdb_0.50_10,12,6,38,7,3,9,0.0454545,3,7,3,7,14.9091,27
mggdb_0.50_11,22,11,68,16,5,17,0.0238095,3,7,3,7,15.5065,31
mggdb_0.50_12,13,5,36,8,2,9,0.0320513,2,5,2,5,24.9231,47
mggdb_0.50_13,10,7,42,8,3,10,0.0777778,3,8,3,8,11.7111,22
mggdb_0.50_14,7,5,32,6,2,8,0.119048,6,6,6,6,3.90476,6
mggdb_0.50_15,7,5,32,5,2,8,0.119048,6,6,6,6,1.71429,2
mggdb_0.50_16,8,7,42,6,3,10,0.125,7,7,7,7,3.35714,6
mggdb_0.50_17,8,7,42,7,3,10,0.125,7,7,7,7,1.75,2
mggdb_0.50_18,9,9,54,8,4,13,0.125,8,8,8,8,3.41667,7
mggdb_0.50_19,8,2,18,3,1,4,0.0357143,1,5,1,5,6,9
mggdb_0.50_2,12,6,40,6,3,10,0.0454545,3,6,3,6,14.8788,25
mggdb_0.50_20,11,5,34,5,2,8,0.0454545,1,7,1,7,5.98182,13
mggdb_0.50_21,11,8,50,8,4,12,0.0727273,4,9,4,9,3.98182,9
mggdb_0.50_22,11,11,66,10,5,16,0.1,6,10,6,10,2.2,4
mggdb_0.50_23,11,13,84,7,6,21,0.118182,10,10,10,10,2.45455,4
mggdb_0.50_3,12,5,34,9,2,8,0.0378788,3,6,3,6,16.1061,30
mggdb_0.50_4,11,4,30,6,2,7,0.0363636,3,5,3,5,19.8909,36
mggdb_0.50_5,13,6,40,7,3,10,0.0384615,3,5,3,5,17.5128,30
mggdb_0.50_6,12,5,34,7,2,8,0.0378788,2,5,2,5,16.9545,34
mggdb_0.50_7,12,5,34,9,2,8,0.0378788,2,6,2,6,18.6667,36
mggdb_0.50_8,27,11,70,15,5,17,0.0156695,1,7,1,7,15.2108,34
mggdb_0.50_9,27,12,78,16,6,19,0.017094,2,7,2,7,10.3846,24
mgval_0.25_10A,50,32,106,26,24,79,0.0130612,1,5,1,5,13.3147,35
mgval_0.25_10B,50,33,101,24,24,75,0.0134694,1,5,1,5,13.9963,37
mgval_0.25_10C,50,36,100,23,27,75,0.0146939,1,5,1,5,12.5376,38
mgval_0.25_10D,50,42,87,23,31,65,0.0171429,1,5,1,5,12.7216,41
mgval_0.25_1A,24,20,35,13,15,26,0.0362319,1,5,1,5,11.6304,28
mgval_0.25_1B,24,13,38,10,9,28,0.0235507,1,5,1,4,13.6993,31
mgval_0.25_1C,24,17,36,12,12,27,0.0307971,2,5,1,5,15.0217,45
mgval_0.25_2A,24,16,28,7,12,21,0.0289855,1,4,1,4,21.0109,50
mgval_0.25_2B,24,12,40,9,9,30,0.0217391,1,4,1,4,18.1612,42
mgval_0.25_2C,24,14,35,12,10,26,0.0253623,2,4,1,4,19.3225,47
mgval_0.25_3A,24,15,33,9,11,24,0.0271739,1,4,1,4,6.25543,19
mgval_0.25_3B,24,16,29,8,12,21,0.0289855,1,4,2,4,8.08877,23
mgval_0.25_3C,24,18,25,10,13,18,0.0326087,1,4,1,4,6.54167,18
mgval_0.25_4A,41,26,69,19,19,51,0.0158537,1,5,1,5,17.9445,44
mgval_0.25_4B,41,19,83,20,14,62,0.0115854,1,6,1,4,18.2402,44
mgval_0.25_4C,41,21,82,24,15,61,0.0128049,1,6,1,6,18.414,45
mgval_0.25_4D,41,21,83,19,15,62,0.0128049,1,5,1,5,18.0646,43
mgval_0.25_5A,34,22,74,21,16,55,0.0196078,2,5,1,5,16.8904,42
mgval_0.25_5B,34,35,56,18,26,42,0.0311943,2,5,2,5,16.2656,42
mgval_0.25_5C,34,17,81,21,12,60,0.0151515,1,5,1,5,17.3717,48
mgval_0.25_5D,34,29,63,17,21,47,0.0258467,1,5,2,5,16.4688,41
mgval_0.25_6A,31,22,47,16,16,35,0.0236559,1,5,2,5,13.7753,34
mgval_0.25_6B,31,22,44,14,16,33,0.0236559,1,5,1,5,14.4817,35
mgval_0.25_6C,31,23,45,16,17,33,0.0247312,1,5,1,5,13.2839,39
mgval_0.25_7A,40,36,50,20,27,37,0.0230769,1,5,1,8,15.3538,35
mgval_0.25_7B,40,25,66,18,18,49,0.0160256,1,7,1,7,16.009,41
mgval_0.25_7C,40,28,62,18,21,46,0.0179487,1,7,1,8,15.0795,34
mgval_0.25_8A,30,20,76,16,15,57,0.0229885,2,7,2,7,15.8276,36
mgval_0.25_8B,30,27,64,16,20,48,0.0310345,2,7,1,6,15.3494,36
mgval_0.25_8C,30,28,55,16,21,41,0.0321839,1,7,2,6,17.0414,43
mgval_0.25_9A,50,32,100,23,24,75,0.0130612,1,6,2,5,12.7461,32
mgval_0.25_9B,50,44,76,22,33,57,0.0179592,2,6,1,6,13.0539,38
mgval_0.25_9C,50,42,83,26,31,62,0.0171429,1,6,2,6,12.1441,32
mgval_0.25_9D,50,38,93,24,28,69,0.0155102,1,6,1,6,12.0922,30
mgval_0.30_10A,50,32,106,31,22,74,0.0130612,1,5,1,5,13.3147,35
mgval_0.30_10B,50,33,101,30,23,70,0.0134694,1,5,1,5,13.9963,37
mgval_0.30_10C,50,36,100,30,25,70,0.0146939,1,5,1,5,12.5376,38
mgval_0.30_10D,50,42,87,32,29,60,0.0171429,1,5,1,5,12.7216,41
mgval_0.30_1A,24,20,35,15,14,24,0.0362319,1,5,1,5,11.6304,28
mgval_0.30_1B,24,13,38,12,9,26,0.0235507,1,5,1,4,13.6993,31
mgval_0.30_1C,24,17,36,12,11,25,0.0307971,2,5,1,5,15.0217,45
mgval_0.30_2A,24,16,28,12,11,19,0.0289855,1,4,1,4,21.0109,50
mgval_0.30_2B,24,12,40,13,8,28,0.0217391,1,4,1,4,18.1612,42
mgval_0.30_2C,24,14,35,12,9,24,0.0253623,2,4,1,4,19.3225,47
mgval_0.30_3A,24,15,33,13,10,23,0.0271739,1,4,1,4,6.25543,19
mgval_0.30_3B,24,16,29,10,11,20,0.0289855,1,4,2,4,8.08877,23
mgval_0.30_3C,24,18,25,12,12,17,0.0326087,1,4,1,4,6.54167,18
mgval_0.30_4A,41,26,69,21,18,48,0.0158537,1,5,1,5,17.9445,44
mgval_0.30_4B,41,19,83,27,13,58,0.0115854,1,6,1,4,18.2402,44
mgval_0.30_4C,41,21,82,27,14,57,0.0128049,1,6,1,6,18.414,45
mgval_0.30_4D,41,21,83,22,14,58,0.0128049,1,5,1,5,18.0646,43
mgval_0.30_5A,34,22,74,20,15,51,0.0196078,2,5,1,5,16.8904,42
mgval_0.30_5B,34,35,56,20,24,39,0.0311943,2,5,2,5,16.2656,42
mgval_0.30_5C,34,17,81,20,11,56,0.0151515,1,5,1,5,17.3717,48
mgval_0.30_5D,34,29,63,22,20,44,0.0258467,1,5,2,5,16.4688,41
mgval_0.30_6A,31,22,47,19,15,32,0.0236559,1,5,2,5,13.7753,34
mgval_0.30_6B,31,22,44,19,15,30,0.0236559,1,5,1,5,14.4817,35
mgval_0.30_6C,31,23,45,17,16,31,0.0247312,1,5,1,5,13.2839,39
mgval_0.30_7A,40,36,50,17,25,35,0.0230769,1,5,1,8,15.3538,35
mgval_0.30_7B,40,25,66,19,17,46,0.0160256,1,7,1,7,16.009,41
mgval_0.30_7C,40,28,62,23,19,43,0.0179487,1,7,1,8,15.0795,34
mgval_0.30_8A,30,20,76,21,14,53,0.0229885,2,7,2,7,15.8276,36
mgval_0.30_8B,30,27,64,21,18,44,0.0310345,2,7,1,6,15.3494,36
mgval_0.30_8C,30,28,55,18,19,38,0.0321839,1,7,2,6,17.0414,43
mgval_0.30_9A,50,32,100,26,22,70,0.0130612,1,6,2,5,12.7461,32
mgval_0.30_9B,50,44,76,27,30,53,0.0179592,2,6,1,6,13.0539,38
mgval_0.30_9C,50,42,83,25,29,58,0.0171429,1,6,2,6,12.1441,32
mgval_0.30_9D,50,38,93,31,26,65,0.0155102,1,6,1,6,12.0922,30
mgval_0.35_10A,50,32,106,34,20,68,0.0130612,1,5,1,5,13.3147,35
mgval_0.35_10B,50,33,101,32,21,65,0.0134694,1,5,1,5,13.9963,37
mgval_0.35_10C,50,36,100,34,23,65,0.0146939,1,5,1,5,12.5376,38
mgval_0.35_10D,50,42,87,31,27,56,0.0171429,1,5,1,5,12.7216,41
mgval_0.35_1A,24,20,35,12,13,22,0.0362319,1,5,1,5,11.6304,28
mgval_0.35_1B,24,13,38,16,8,24,0.0235507,1,5,1,4,13.6993,31
mgval_0.35_1C,24,17,36,14,11,23,0.0307971,2,5,1,5,15.0217,45
mgval_0.35_2A,24,16,28,12,10,18,0.0289855,1,4,1,4,21.0109,50
mgval_0.35_2B,24,12,40,13,7,26,0.0217391,1,4,1,4,18.1612,42
mgval_0.35_2C,24,14,35,14,9,22,0.0253623,2,4,1,4,19.3225,47
mgval_0.35_3A,24,15,33,13,9,21,0.0271739,1,4,1,4,6.25543,19
mgval_0.35_3B,24,16,29,13,10,18,0.0289855,1,4,2,4,8.08877,23
mgval_0.35_3C,24,18,25,13,11,16,0.0326087,1,4,1,4,6.54167,18
mgval_0.35_4A,41,26,69,24,16,44,0.0158537,1,5,1,5,17.9445,44
mgval_0.35_4B,41,19,83,25,12,53,0.0115854,1,6,1,4,18.2402,44
mgval_0.35_4C,41,21,82,27,13,53,0.0128049,1,6,1,6,18.414,45
mgval_0.35_4D,41,21,83,30,13,53,0.0128049,1,5,1,5,18.0646,43
mgval_0.35_5A,34,22,74,20,14,48,0.0196078,2,5,1,5,16.8904,42
mgval_0.35_5B,34,35,56,23,22,36,0.0311943,2,5,2,5,16.2656,42
mgval_0.35_5C,34,17,81,19,11,52,0.0151515,1,5,1,5,17.3717,48
mgval_0.35_5D,34,29,63,22,18,40,0.0258467,1,5,2,5,16.4688,41
mgval_0.35_6A,31,22,47,20,14,30,0.0236559,1,5,2,5,13.7753,34
mgval_0.35_6B,31,22,44,20,14,28,0.0236559,1,5,1,5,14.4817,35
mgval_0.35_6C,31,23,45,17,14,29,0.0247312,1,5,1,5,13.2839,39
mgval_0.35_7A,40,36,50,23,23,32,0.0230769,1,5,1,8,15.3538,35
mgval_0.35_7B,40,25,66,21,16,42,0.0160256,1,7,1,7,16.009,41
mgval_0.35_7C,40,28,62,24,18,40,0.0179487,1,7,1,8,15.0795,34
mgval_0.35_8A,30,20,76,22,13,49,0.0229885,2,7,2,7,15.8276,36
mgval_0.35_8B,30,27,64,20,17,41,0.0310345,2,7,1,6,15.3494,36
mgval_0.35_8C,30,28,55,22,18,35,0.0321839,1,7,2,6,17.0414,43
mgval_0.35_9A,50,32,100,31,20,65,0.0130612,1,6,2,5,12.7461,32
mgval_0.35_9B,50,44,76,29,28,49,0.0179592,2,6,1,6,13.0539,38
mgval_0.35_9C,50,42,83,35,27,53,0.0171429,1,6,2,6,12.1441,32
mgval_0.35_9D,50,38,93,31,24,60,0.0155102,1,6,1,6,12.0922,30
mgval_0.40_10A,50,32,106,36,19,63,0.0130612,1,5,1,5,13.3147,35
mgval_0.40_10B,50,33,101,34,19,60,0.0134694,1,5,1,5,13.9963,37
mgval_0.40_10C,50,36,100,33,21,60,0.0146939,1,5,1,5,12.5376,38
mgval_0.40_10D,50,42,87,35,25,52,0.0171429,1,5,1,5,12.7216,41
mgval_0.40_1A,24,20,35,15,12,21,0.0362319,1,5,1,5,11.6304,28
mgval_0.40_1B,24,13,38,14,7,22,0.0235507,1,5,1,4,13.6993,31
mgval_0.40_1C,24,17,36,15,10,21,0.0307971,2,5,1,5,15.0217,45
mgval_0.40_2A,24,16,28,13,9,16,0.0289855,1,4,1,4,21.0109,50
mgval_0.40_2B,24,12,40,18,7,24,0.0217391,1,4,1,4,18.1612,42
